Country,Year,GDP_USD
China,1973,138764000000
China,1974,144418000000
China,1975,163688000000
China,1976,154197000000
China,1977,175227000000
China,1978,149789000000
China,1979,178574000000
China,1980,191488000000
China,1981,196218000000
China,1982,205481000000
China,1983,231130000000
China,1984,260443000000
China,1985,310065000000
China,1986,301310000000
China,1987,273455000000
China,1988,312889000000
China,1989,348381000000
China,1990,361560000000
China,1991,384510000000
China,1992,428502000000
China,1993,446557000000
China,1994,566930000000
China,1995,738191000000
China,1996,868524000000
China,1997,967754000000
China,1998,1037130000000
China,1999,1103840000000
China,2000,1223750000000
China,2001,1355040000000
China,2002,1489820000000
China,2003,1683900000000
China,2004,1984200000000
China,2005,2317550000000
China,2006,2791500000000
China,2007,3604060000000
China,2008,4667350000000
China,2009,5189580000000
China,2010,6192560000000
China,2011,7671760000000
China,2012,8673660000000
China,2013,9743120000000
China,2014,10674500000000
China,2015,11280800000000
China,2016,11456000000000
China,2017,12537600000000
China,2018,14147800000000
China,2019,14560200000000
China,2020,14996400000000
China,2021,18201700000000
China,2022,18316800000000
China,2023,18270400000000
Indonesia,1973,16273253012
Indonesia,1974,25802409639
Indonesia,1975,30463855422
Indonesia,1976,37269156627
Indonesia,1977,45808915663
Indonesia,1978,51455719076
Indonesia,1979,51400186343
Indonesia,1980,72482337397
Indonesia,1981,85518233419
Indonesia,1982,90158449295
Indonesia,1983,81052283384
Indonesia,1984,84853700028
Indonesia,1985,85289488375
Indonesia,1986,79954072545
Indonesia,1987,75929617558
Indonesia,1988,84300174486
Indonesia,1989,94451427877
Indonesia,1990,106141000000
Indonesia,1991,116622000000
Indonesia,1992,128027000000
Indonesia,1993,158007000000
Indonesia,1994,176892000000
Indonesia,1995,202132000000
Indonesia,1996,227370000000
Indonesia,1997,215749000000
Indonesia,1998,95445547873
Indonesia,1999,140001000000
Indonesia,2000,165021000000
Indonesia,2001,160447000000
Indonesia,2002,195661000000
Indonesia,2003,234772000000
Indonesia,2004,256837000000
Indonesia,2005,285869000000
Indonesia,2006,364571000000
Indonesia,2007,432217000000
Indonesia,2008,510229000000
Indonesia,2009,539580000000
Indonesia,2010,755094000000
Indonesia,2011,892969000000
Indonesia,2012,917870000000
Indonesia,2013,912524000000
Indonesia,2014,890815000000
Indonesia,2015,860854000000
Indonesia,2016,931877000000
Indonesia,2017,1015620000000
Indonesia,2018,1042270000000
Indonesia,2019,1119100000000
Indonesia,2020,1059050000000
Indonesia,2021,1186510000000
Indonesia,2022,1319100000000
Indonesia,2023,1371170000000
India,1973,85517673173
India,1974,99526597934
India,1975,98473832017
India,1976,102716000000
India,1977,121487000000
India,1978,137302000000
India,1979,152995000000
India,1980,186329000000
India,1981,193491000000
India,1982,200716000000
India,1983,218262000000
India,1984,212158000000
India,1985,232512000000
India,1986,248986000000
India,1987,279034000000
India,1988,296590000000
India,1989,296042000000
India,1990,320979000000
India,1991,270105000000
India,1992,288208000000
India,1993,279296000000
India,1994,327275000000
India,1995,360282000000
India,1996,392897000000
India,1997,415868000000
India,1998,421351000000
India,1999,458821000000
India,2000,468396000000
India,2001,485440000000
India,2002,514939000000
India,2003,607701000000
India,2004,709153000000
India,2005,820384000000
India,2006,940260000000
India,2007,1216740000000
India,2008,1198900000000
India,2009,1341890000000
India,2010,1675620000000
India,2011,1823050000000
India,2012,1827640000000
India,2013,1856720000000
India,2014,2039130000000
India,2015,2103590000000
India,2016,2294800000000
India,2017,2651470000000
India,2018,2702930000000
India,2019,2835610000000
India,2020,2674850000000
India,2021,3167270000000
India,2022,3346110000000
India,2023,3638490000000
Japan,1973,441461000000
Japan,1974,490036000000
Japan,1975,532861000000
Japan,1976,598884000000
Japan,1977,737069000000
Japan,1978,1035610000000
Japan,1979,1077910000000
Japan,1980,1129380000000
Japan,1981,1245220000000
Japan,1982,1158730000000
Japan,1983,1270860000000
Japan,1984,1345820000000
Japan,1985,1427020000000
Japan,1986,2120080000000
Japan,1987,2580750000000
Japan,1988,3125720000000
Japan,1989,3109460000000
Japan,1990,3185900000000
Japan,1991,3648070000000
Japan,1992,3980700000000
Japan,1993,4536940000000
Japan,1994,4998800000000
Japan,1995,5545560000000
Japan,1996,4923390000000
Japan,1997,4492450000000
Japan,1998,4098360000000
Japan,1999,4635980000000
Japan,2000,4968360000000
Japan,2001,4374710000000
Japan,2002,4182850000000
Japan,2003,4519560000000
Japan,2004,4893120000000
Japan,2005,4831470000000
Japan,2006,4601660000000
Japan,2007,4579750000000
Japan,2008,5106680000000
Japan,2009,5289490000000
Japan,2010,5759070000000
Japan,2011,6233150000000
Japan,2012,6272360000000
Japan,2013,5212330000000
Japan,2014,4896990000000
Japan,2015,4444930000000
Japan,2016,5003680000000
Japan,2017,4930840000000
Japan,2018,5040880000000
Japan,2019,5117990000000
Japan,2020,5054070000000
Japan,2021,5039150000000
Japan,2022,4262460000000
Japan,2023,4213170000000
South Korea,1973,13876472208
South Korea,1974,19543973941
South Korea,1975,21784297521
South Korea,1976,29902479339
South Korea,1977,38446487603
South Korea,1978,51972107438
South Korea,1979,66946900826
South Korea,1980,65398377598
South Korea,1981,72933533012
South Korea,1982,78358416171
South Korea,1983,87760553262
South Korea,1984,97510744119
South Korea,1985,101296000000
South Korea,1986,116836000000
South Korea,1987,147949000000
South Korea,1988,199591000000
South Korea,1989,246929000000
South Korea,1990,283366000000
South Korea,1991,330647000000
South Korea,1992,355525000000
South Korea,1993,392666000000
South Korea,1994,463620000000
South Korea,1995,566581000000
South Korea,1996,610167000000
South Korea,1997,569755000000
South Korea,1998,383332000000
South Korea,1999,497514000000
South Korea,2000,576179000000
South Korea,2001,547656000000
South Korea,2002,627247000000
South Korea,2003,702715000000
South Korea,2004,793176000000
South Korea,2005,934901000000
South Korea,2006,1053220000000
