Country,Year,GDP_USD
China,1973,138543170458.1
China,1974,144188970821.1
China,1975,163429530659.6
China,1976,153939265947.8
China,1977,174935933078.7
China,1978,218502169137.6
China,1979,263711728825
China,1980,306165314855.8
China,1981,289576581830.4
China,1982,283928672988.1
China,1983,304748904221.3
China,1984,313728547706.9
China,1985,309835803013.6
China,1986,300514204521
China,1987,327089403146.1
China,1988,407844670393.1
China,1989,456289122063.2
China,1990,394565747349.1
China,1991,413375445354.5
China,1992,493136961883
China,1993,619111946511.6
China,1994,564321854521
China,1995,734484834573.6
China,1996,863749314718.5
China,1997,961601980984.6
China,1998,1029060747620.7
China,1999,1094010482677.4
China,2000,1211331651829.9
China,2001,1339400897153.4
China,2002,1470557654824.1
China,2003,1660280543870.9
China,2004,1955346768757.6
China,2005,2285961149904.3
China,2006,2752118657221.6
China,2007,3550327803024.7
China,2008,4594336785752.1
China,2009,5101691124358.4
China,2010,6087191746738.6
China,2011,7551545703518.1
China,2012,8532185381696.4
China,2013,9570471111847.8
China,2014,10475624944290.1
China,2015,11061572618594.8
China,2016,11233313730288.5
China,2017,12310491333980.9
China,2018,13894907857925.9
China,2019,14279968506242.8
China,2020,14687744162801
China,2021,17820459508852.2
China,2022,17963171479205.3
China,2023,18270000000000
Japan,1973,441460582535.9
Japan,1974,490035789970.3
Japan,1975,532861438884.7
Japan,1976,598883902155.6
Japan,1977,737069290927.7
Japan,1978,1035611588216.6
Japan,1979,1077910077676.4
Japan,1980,1129377244854
Japan,1981,1245221410764.1
Japan,1982,1158731426905.9
Japan,1983,1270859919742.9
Japan,1984,1345824500836.8
Japan,1985,1427019759717.4
Japan,1986,2120083812109.9
Japan,1987,2580748422781.1
Japan,1988,3125724434400.8
Japan,1989,3109455047823.9
Japan,1990,3185904656663.9
Japan,1991,3648065760648.9
Japan,1992,3980702922117.7
Japan,1993,4536940479038.2
Japan,1994,4998797547741
Japan,1995,5545563663889.7
Japan,1996,4923391533851.6
Japan,1997,4492448605638.9
Japan,1998,4098362709531.2
Japan,1999,4635982224063.9
Japan,2000,4968359075956.6
Japan,2001,4374711694090.9
Japan,2002,4182846045873.6
Japan,2003,4519561645253.5
Japan,2004,4893116005656.6
Japan,2005,4831467035389.8
Japan,2006,4601663122649.9
Japan,2007,4579750920354.8
Japan,2008,5106679115127.3
Japan,2009,5289493117993.9
Japan,2010,5759071769013.1
Japan,2011,6233147172341.3
Japan,2012,6272362996105
Japan,2013,5212328181166.2
Japan,2014,4896994405353.3
Japan,2015,4444930651964.2
Japan,2016,5003677627544.2
Japan,2017,4930837369151.4
Japan,2018,5040880939324.9
Japan,2019,5117993853016.5
Japan,2020,5048789595589.4
Japan,2021,5005536736792.3
Japan,2022,4232173916086.7
Japan,2023,4210000000000
South Korea,1973,13876472208.3
South Korea,1974,19543973941.4
South Korea,1975,21784297520.7
South Korea,1976,29902479338.8
South Korea,1977,38446487603.3
South Korea,1978,51972107438
South Korea,1979,66946900826.4
South Korea,1980,65398377597.5
South Korea,1981,72933533011.8
South Korea,1982,90158449295
South Korea,1983,87760553261.9
South Korea,1984,97510744119.1
South Korea,1985,101296177099.4
South Korea,1986,116836246284.8
South Korea,1987,147948709376.4
South Korea,1988,199591287824.8
South Korea,1989,246928837311.4
South Korea,1990,283365844161.1
South Korea,1991,330647042837.3
South Korea,1992,355524903068.1
South Korea,1993,392665710525.4
South Korea,1994,463619823515.2
South Korea,1995,566581003128.2
South Korea,1996,610167053824
South Korea,1997,569755022973
South Korea,1998,383331833681.8
South Korea,1999,497514040642.3
South Korea,2000,576179387819.6
South Korea,2001,547656279894.6
South Korea,2002,627246933729.6
South Korea,2003,702714855193.9
South Korea,2004,793175561887
South Korea,2005,934901071333
South Korea,2006,1053216909887.6
South Korea,2007,1172614086539.9
South Korea,2008,1047339010225.2
South Korea,2009,943941876218.7
South Korea,2010,1143672241149.7
South Korea,2011,1253289537500.8
South Korea,2012,1278046536287
South Korea,2013,1370632955321.2
South Korea,2014,1484488526271.8
South Korea,2015,1466038936206.4
South Korea,2016,1499679823909.6
South Korea,2017,1623074183501.9
